Time[s], Data[Hex]
3.08275275, 4
3.082753, 0
3.08275325, 4
3.0827535, 1
3.08276775, 9
3.0828075, 1
3.08281025, 5
3.0828105, 0
3.08281075, 4
3.082811, 0
3.08281125, 4
3.0828115, 0
3.08281175, 4
3.082812, 0
3.08281225, 4
3.0828125, 0
3.08281275, 4
3.082813, 0
3.08281325, 4
3.0828135, 1
3.08281375, 5
3.082814, 1
3.082816125, 0
3.082816375, 4
3.082816625, 0
3.082816875, 4
3.082817125, 0
3.082817375, 4
3.082817625, 1
3.082817875, 5
3.082818125, 0
3.082818375, 4
3.082818625, 2
3.082818875, 6
3.082819125, 0
3.082819375, 4
3.082819625, 0
3.082819875, 4
3.082820125, 1
3.082835625, 9
3.0828785, 1
3.082881, 0
3.08288125, 4
3.0828815, 0
3.08288175, 4
3.082882, 1
3.08288225, 5
3.0828825, 0
3.08288275, 4
3.082883, 0
3.08288325, 4
3.0828835, 1
3.08288375, 5
3.082884, 0
3.08288425, 4
3.0828845, 0
3.08288475, 4
3.082885, 3
3.082886875, 2
3.082887125, 6
3.082887375, 2
3.082887625, 6
3.082887875, 2
3.082888125, 6
3.082888375, 2
3.082888625, 6
3.082888875, 2
3.082889125, 6
3.082889375, 2
3.082889625, 6
3.082889875, 2
3.082890125, 6
3.082890375, 2
3.082890625, 6
3.082890875, 1
3.082905125, 9
3.082934125, 1
3.082936625, 0
3.082936875, 4
3.082937125, 0
3.082937375, 4
3.082937625, 0
3.082937875, 4
3.082938125, 0
3.082938375, 4
3.082938625, 0
3.082938875, 4
3.082939125, 0
3.082939375, 4
3.082939625, 0
3.082939875, 4
3.082940125, 1
3.082940375, 5
3.082940625, 1
3.0829425, 0
3.08294275, 4
3.082943, 0
3.08294325, 4
3.0829435, 0
3.08294375, 4
3.082944, 2
3.08294425, 6
3.0829445, 0
3.08294475, 4
3.082945, 0
3.08294525, 4
3.0829455, 0
3.08294575, 4
3.082946, 0
3.08294625, 4
3.0829465, 1
3.082960625, 9
3.08300075, 1
3.0830035, 5
3.08300375, 0
3.083004, 4
3.08300425, 0
3.0830045, 4
3.08300475, 0
3.083005, 4
3.08300525, 0
3.0830055, 4
3.08300575, 0
3.083006, 4
3.08300625, 0
3.0830065, 4
3.08300675, 1
3.083007, 5
3.08300725, 1
3.083009375, 0
3.083009625, 4
3.083009875, 0
3.083010125, 4
3.083010375, 0
3.083010625, 4
3.083010875, 2
3.083011125, 6
3.083011375, 0
3.083011625, 4
3.083011875, 1
3.083012125, 5
3.083012375, 0
3.083012625, 4
3.083012875, 0
3.083013125, 4
3.083013375, 1
3.08302875, 9
3.083078875, 1
3.083081375, 0
3.083081625, 4
3.083081875, 0
3.083082125, 4
3.083082375, 1
3.083082625, 5
3.083082875, 0
3.083083125, 4
3.083083375, 0
3.083083625, 4
3.083083875, 1
3.083084125, 5
3.083084375, 1
3.083084625, 5
3.083084875, 1
3.083085125, 5
3.083085375, 3
3.08308725, 2
3.0830875, 6
3.08308775, 0
3.083088, 4
3.08308825, 0
3.0830885, 4
3.08308875, 0
3.083089, 4
3.08308925, 0
3.0830895, 4
3.08308975, 0
3.08309, 4
3.08309025, 0
3.0830905, 4
3.08309075, 0
3.083091, 4
3.08309125, 1
3.0831055, 9
3.08314525, 1
3.083148, 5
3.08314825, 0
3.0831485, 4
3.08314875, 1
3.083149, 5
3.08314925, 0
3.0831495, 4
3.08314975, 0
3.08315, 4
3.08315025, 1
3.0831505, 5
3.08315075, 0
3.083151, 4
3.08315125, 1
